Property_Use,Estimated_Number_Of_Persons_Displaced
302 - Semi-Detached Dwelling,29882.0
"303 - Attached Dwelling (eg. rowhouse, townhouse, etc.)",28904.0
323 - Multi-Unit Dwelling - Over 12 Units,15450.0
301 - Detached Dwelling,14562.0
334 - Attached Dwelling with Business,7109.0
501 - Restaurant (occupant load less than 30 persons),6116.0
"331 - Apartment, Flat, Tenement with Business",5364.0
405 - General Business Office,4510.0
612 - Hydro Distribution Facility,4388.0
599 - Other Mercantile,4023.0
"653 - Mfg: Secondary Processing (eg finished goods, furniture, etc)",2134.0
365 - Detached Garage,2016.0
603 - Motor Vehicle Repair Garage,2016.0
"539 - Gifts, jewellery, leather goods, mixed goods",2007.0
134 - School - Secondary/Senior High (Gr. 9+),1810.0
511 - Department Store,1597.0
"355 - Hotel, Motel, Lodging - 4 or more guests or suites",1465.0
321 - Multi-Unit Dwelling - 2 to 6 Units,1429.0
499 - Other Business or Personal Services,1387.0
231 - Shelter for displaced/abused persons,1156.0
101 - Theatre - Motion Picture,1105.0
"760 - Sto: Warehouse, variety of items, not classified by codes",1097.0
"502 - Supermarket, Grocery Store",1079.0
144 - Subway Station,1019.0
"404 - Laundry, Dry Cleaner (includes self-service)",1011.0
"121 - Bowling Alley, Billiard Centre, pool hall",1007.0
529 - Book/Stationary/Art Supply Store,997.0
716 - Sto: Packed food stuffs (not classified by other codes),997.0
112 - Art Gallery,997.0
132 - School - Elementary,840.0
137 - School - Post Secondary (University),720.0
510 - Mall - public area common to multi store facility,705.0
701 - Sto: Meat/Poultry/Fish products,533.0
124 - Sports/Country/Social/Yacht Club,400.0
311 - Rooming/Boarding/Lodging House,350.0
322 - Multi-Unit Dwelling - 7 to 12 Units,292.0
"151 - Restaurants (occupant load greater than 30 persons, licensed)",274.0
"661 - Mfg: Road Vehicles, Parts",260.0
623 - Mfg: Plastics,210.0
"651 - Mfg: Pulp, Paper Processing",200.0
"173 - Exhibition, Fair Stand, Amusement Park Structure",200.0
679 - Mfg: Other Metal/Eletctrical/Miscellaneous Products,157.0
"638 - Mfg: Sugar Refining, Sugar Products",150.0
