_id,Area_of_Origin,Building_Status,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Exposures,Ext_agent_app_or_defer_time,Extent_Of_Fire,Final_Incident_Type,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Incident_Number,Incident_Station_Area,Incident_Ward,Initial_CAD_Event_Type,Intersection,Last_TFS_Unit_Clear_Time,Latitude,Level_Of_Origin,Longitude,Material_First_Ignited,Method_Of_Fire_Control,Number_of_responding_apparatus,Number_of_responding_personnel,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Smoke_Alarm_Impact_on_Persons_Evacuating_Impact_on_Evacuation,Smoke_Spread,Sprinkler_System_Operation,Sprinkler_System_Presence,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,TFS_Firefighter_Casualties,Response_Minutes,Minutes_To_Control
190509,24 - Cooking Area or Kitchen,01 - Normal (no change),1 - No business interruption,0,0,10000.0,5.0,,2015-07-20T21:30:00,2 - Confined to part of room/area of origin,01 - Fire,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2015-07-20 21:31:42,"11 - Stove, Range-top burner",F15067490,411,7.0,FIHR,Islington Ave / Aviemore Dr,2015-07-20T23:01:15,43.74838,009,-79.5684,"74 - Cooking Oil, Grease",3 - Extinguished by occupant,10,34,44 - Unattended,323 - Multi-Unit Dwelling - Over 12 Units,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,2 - Hardwired (standalone),1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,5 - Multi unit bldg: spread beyond suite of origin but not to separated suite(s),2 - Did not activate: remote from fire,9 - Undetermined,1 - Fire extinguished prior to arrival,2015-07-20 21:17:45,2015-07-20 21:23:40,1,5.916666666666667,13.95
190585,"59 - Utility Shaft (eg. electrical wiring/phone, etc.)",,,0,0,100000.0,0.0,,2017-08-16T06:12:00,,01 - Fire,,,,2017-08-16 07:15:00,30 - Other Electrical Distribution Item,F17077875,334,20.0,FIHCD,Bremner Blvd / Rees St,2017-08-16T08:13:56,43.64086,,-79.38762,43 - Electrical Wiring Insulation,1 - Extinguished by fire department,10,30,52 - Electrical Failure,"821 - Radio Transmission Site, Microwave Tower",,,,,,,,2 - Fire with no evidence from street,2017-08-16 04:16:14,2017-08-16 04:21:24,1,5.166666666666667,178.76666666666668
190752,81 - Engine Area,,,0,0,1000000.0,0.0,,2012-06-29T11:24:20,,01 - Fire,,,,2012-06-29 11:24:20,82 - Vehicle - Mechanical,F12069979,441,2.0,VEF,Dixon Rd / 427 N Dixon Ramp,2012-06-29T11:24:59,43.68656,,-79.59942,47 - Vehicle,1 - Extinguished by fire department,1,4,99 - Undetermined,941 - Construction Vehicles,,,,,,,,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",2012-06-29 11:18:09,2012-06-29 11:24:19,2,6.166666666666667,6.183333333333334
191106,27 - Laundry Area,01 - Normal (no change),8 - Not applicable (not a business),0,0,85000.0,3.0,,2017-02-09T20:29:07,3 - Spread to entire room of origin,01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),8 - Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-02-09 20:42:25,43 - Clothes Dryer,F17013033,426,14.0,FIR,High Park Blvd / Sunnyside Ave,2017-02-09T22:41:06,43.64587,B01,-79.45135,"39 - Other Soft Goods, Wearing Apparel",1 - Extinguished by fire department,10,34,"98 - Unintentional, cause undetermined",323 - Multi-Unit Dwelling - Over 12 Units,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,1 - Battery operated,1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,8 - Entire Structure,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2017-02-09 20:23:08,2017-02-09 20:28:07,1,4.983333333333333,19.283333333333335
191144,81 - Engine Area,,,0,1,20000.0,0.0,,2015-10-18T01:30:00,,01 - Fire,,,,2015-10-18 00:45:00,82 - Vehicle - Mechanical,F15097051,243,42.0,VEAT,Invergordon Ave / Tineta Cres,2015-10-18T01:30:55,43.78816,,-79.2537,47 - Vehicle,1 - Extinguished by fire department,4,14,12 - Vehicle Accident/Collision,999 - Other Vehicle,,,,,,,,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2015-10-18 00:26:40,2015-10-18 00:31:01,1,4.35,18.333333333333332
191217,"31 - Process Manufacturing (inc manf, prod assembly, repair)",01 - Normal (no change),2 - May resume operations within a week,0,0,10000.0,0.0,,2016-02-02T21:19:13,2 - Confined to part of room/area of origin,01 - Fire,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2016-02-02 21:19:23,69 - Other Processing Equipment,F16010264,426,18.0,FACI,Sterling Rd / Perth Ave,2016-02-02T22:30:20,43.6552,001,-79.44634,55 - Wood,1 - Extinguished by fire department,5,18,44 - Unattended,"653 - Mfg: Secondary Processing (eg finished goods, furniture, etc)",1 - Floor/suite of fire origin: No smoke alarm,98 - Not applicable: Alarm operated OR presence/operation undetermined,8 - Not applicable - no smoke alarm or presence undetermined,1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,"4 - Spread beyond room of origin, same floor",1 - Sprinkler system activated,1 - Full sprinkler system present,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2016-02-02 21:11:58,2016-02-02 21:16:39,1,4.683333333333334,7.416666666666667
191248,42 - Garage,01 - Normal (no change),8 - Not applicable (not a business),0,0,25000.0,0.0,,2011-02-10T22:01:30,8 - Entire Structure,01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),2 - No Fire alarm system,2011-02-10 22:40:00,999 - Undetermined,F11016854,121,23.0,FIR,Walker Rd / Cameron Ave,2011-02-11T00:34:35,43.75554,001,-79.41804,99 - Undetermined (formerly 98),1 - Extinguished by fire department,9,30,99 - Undetermined,365 - Detached Garage,1 - Floor/suite of fire origin: No smoke alarm,98 - Not applicable: Alarm operated OR presence/operation undetermined,8 - Not applicable - no smoke alarm or presence undetermined,"8 - Not applicable: No alarm, no persons present",8 - Entire Structure,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2011-02-10 21:54:28,2011-02-10 22:00:10,1,5.7,45.53333333333333
191287,74 - Storage Area (outside),01 - Normal (no change),5 - May not resume operations,0,0,5000.0,1.0,,2011-02-09T18:59:13,1 - Confined to object of origin,01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),2 - No Fire alarm system,2011-02-09 19:26:30,34 - Space Heater - Portable,F11016396,433,6.0,FIO,Royal York Rd / Stanley Ave,2011-02-09T20:18:51,43.61432,001,-79.49764,"79 - Other Flammable, Combustible Liquid",1 - Extinguished by fire department,7,23,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup","537 - Rug, floor covering store",1 - Floor/suite of fire origin: No smoke alarm,98 - Not applicable: Alarm operated OR presence/operation undetermined,8 - Not applicable - no smoke alarm or presence undetermined,1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,8 - Entire Structure,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2011-02-09 18:55:58,2011-02-09 18:58:13,1,2.25,30.533333333333335
191491,42 - Garage,01 - Normal (no change),8 - Not applicable (not a business),0,0,200000.0,3.0,,2011-04-12T05:28:00,"11 - Spread beyond building of origin, resulted in exposure fire(s)",01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),2 - No Fire alarm system,2011-04-12 06:00:00,"42 - Television, Radio, Stereo, Tape Recorder, etc.",F11041039,215,44.0,FIR,West Point Ave / Rouge Hills Dr,2011-04-12T11:57:31,43.79238,001,-79.1249,14 - Interior Wall/Ceiling,1 - Extinguished by fire department,14,45,52 - Electrical Failure,301 - Detached Dwelling,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,1 - Battery operated,1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,6 - Multi unit bldg: spread to separate suite(s),8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"5 - Flames showing from large area (more than one storey, large area outdoors)",2011-04-12 05:21:12,2011-04-12 05:26:37,1,5.416666666666667,38.8
191499,"41 - Closet (eg. clothes, broom, linen closet, etc.)",01 - Normal (no change),2 - May resume operations within a week,0,0,4000.0,997.0,,2011-12-20T17:28:00,2 - Confined to part of room/area of origin,01 - Fire,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2011-12-20 17:36:00,999 - Undetermined,F11161153,345,18.0,FAR,Bloor St W / Lansdowne Ave,2011-12-20T18:22:46,43.65834,001,-79.44273000000001,99 - Undetermined (formerly 98),1 - Extinguished by fire department,6,22,99 - Undetermined,231 - Shelter for displaced/abused persons,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,2 - Hardwired (standalone),2 - Some persons (at risk) self evacuated as a result of hearing alarm,"4 - Spread beyond room of origin, same floor",8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2011-12-20 17:21:32,2011-12-20 17:26:05,1,4.55,14.466666666666667
191561,"41 - Closet (eg. clothes, broom, linen closet, etc.)",01 - Normal (no change),8 - Not applicable (not a business),0,0,40000.0,4.0,,2011-05-07T22:01:00,"4 - Spread beyond room of origin, same floor",01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),8 - Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-05-07 22:17:49,"51 - Incandescent Lamp - Light Bulb, Spotlight",F11051075,311,27.0,FIR,Pricefield Rd / Cluny Dr,2011-05-08T00:26:16,43.68132,002,-79.38696999999999,33 - Linen Other than Bedding,1 - Extinguished by fire department,9,28,46 - Used or Placed too close to combustibles,302 - Semi-Detached Dwelling,1 - Floor/suite of fire origin: No smoke alarm,99 - Reason for inoperation undetermined,1 - Battery operated,"8 - Not applicable: No alarm, no persons present","7 - Spread to other floors, confined to building",8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2011-05-07 21:54:40,2011-05-07 21:59:13,1,4.55,23.15
191679,99 - Undetermined  (formerly 98),,,0,0,35000.0,0.0,,2011-05-21T18:26:04,,01 - Fire,,,,2011-05-21 18:31:32,999 - Undetermined,F11056571,113,24.0,VEFH,HWY 404 / Steeles Av E 404 S Ramp,2011-05-21T19:17:52,43.81029,,-79.34759,99 - Undetermined (formerly 98),1 - Extinguished by fire department,4,14,99 - Undetermined,"902 - Small Truck (eg. pick-up, van, etc.)",,,,,,,,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",2011-05-21 18:16:59,2011-05-21 18:22:21,1,5.366666666666666,14.55
192224,29 - Electronic Equipment,01 - Normal (no change),1 - No business interruption,0,0,1000.0,0.0,,2013-08-10T21:00:39,1 - Confined to object of origin,01 - Fire,4 - Fire Alarm system operated but failed to alert occupant(s),1 - Fire alarm system operated,1 -  Fire alarm system present,2013-08-10 20:56:00,83 - Other Electrical,F13065633,315,20.0,FII,College St / Mc Caul St,2013-08-10T22:00:46,43.6592,001,-79.39348000000001,43 - Electrical Wiring Insulation,1 - Extinguished by fire department,9,28,20 - Design/Construction/Installation/Maintenance Deficiency,137 - School - Post Secondary (University),2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,4 - Interconnected,3 - No one (at risk) evacuated as a result of hearing alarm,"7 - Spread to other floors, confined to building",1 - Sprinkler system activated,1 - Full sprinkler system present,2 - Fire with no evidence from street,2013-08-10 20:46:17,2013-08-10 20:49:39,1,3.3666666666666667,9.716666666666667
192535,87 - Trunk/Cargo Area,,,0,0,20000.0,0.0,,2017-03-12T09:57:00,,01 - Fire,,,,2017-03-12 10:13:02,32 - Water Heater,F17022810,432,5.0,VEF,The West Mall / Westside Dr,2017-03-12T11:11:12,43.61901,,-79.5636,97 - Other,1 - Extinguished by fire department,2,8,"98 - Unintentional, cause undetermined",850 - Parking Lot Kiosk,,,,,,,,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2017-03-12 09:49:56,2017-03-12 09:56:49,1,6.883333333333334,23.1
192548,85 - Operator/Control Area,,,0,0,60000.0,0.0,,2014-08-01T20:08:00,,01 - Fire,,,,2014-08-01 20:08:00,999 - Undetermined,F14066566,333,28.0,VEF,Lake Shore Blvd E / Cherry St,2014-08-01T21:11:58,43.64819,,-79.3548,"21 - Upholstered Sofa, Chair, etc.",1 - Extinguished by fire department,3,12,99 - Undetermined,891 - Outdoor general auto parking,,,,,,,,9 - Unclassified,2014-08-01 20:01:44,2014-08-01 20:06:35,1,4.85,6.266666666666667
192843,62 - Roof,02 - Under Renovation,1 - No business interruption,0,0,1000.0,0.0,,2014-08-23T02:31:17,"4 - Spread beyond room of origin, same floor",01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),2 - No Fire alarm system,2014-08-23 03:35:48,999 - Undetermined,F14073170,324,30.0,FIR,Hampton Ave / Grandview Ave,2014-08-23T08:50:22,43.67335,003,-79.35114,96 - Multiple diverse objects ignited,1 - Extinguished by fire department,14,48,"98 - Unintentional, cause undetermined",301 - Detached Dwelling,1 - Floor/suite of fire origin: No smoke alarm,9 - Other reason,8 - Not applicable - no smoke alarm or presence undetermined,"8 - Not applicable: No alarm, no persons present",10 - Spread beyond building of origin,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",2014-08-23 02:19:31,2014-08-23 02:25:49,1,6.3,76.28333333333333
193104,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",01 - Normal (no change),8 - Not applicable (not a business),0,0,1000.0,0.0,,2012-08-14T23:39:00,2 - Confined to part of room/area of origin,01 - Fire,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2012-08-14 23:40:00,999 - Undetermined,F12084553,325,27.0,FIHR,Sherbourne St / Shuter St / Moss Park Trl,2012-08-15T00:22:33,43.65616,001,-79.37012,"46 - Rubbish, Trash, Waste",1 - Extinguished by fire department,11,38,45 - Improperly Discarded,323 - Multi-Unit Dwelling - Over 12 Units,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,2 - Hardwired (standalone),1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,"7 - Spread to other floors, confined to building",1 - Sprinkler system activated,1 - Full sprinkler system present,2 - Fire with no evidence from street,2012-08-14 23:25:26,2012-08-14 23:29:21,1,3.9166666666666665,14.566666666666666
193199,99 - Undetermined  (formerly 98),,,0,0,100000.0,0.0,,2012-09-03T13:12:34,,01 - Fire,,,,2012-09-03 13:20:42,999 - Undetermined,F12090488,142,8.0,VEFH,HWY 400 / 400 S Finch Ramp,2012-09-03T14:57:33,43.76002,,-79.53208000000001,99 - Undetermined (formerly 98),1 - Extinguished by fire department,7,23,99 - Undetermined,903 - Large Truck (Excluding Truck Trailer),,,,,,,,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",2012-09-03 13:02:44,2012-09-03 13:09:48,1,7.066666666666666,17.966666666666665
