Number_of_responding_apparatus,Number_of_responding_personnel,Count_of_Persons_Rescued
6,21,26
7,23,19
5,17,18
37,108,16
10,34,13
17,51,13
85,255,12
17,52,12
29,88,12
6,22,10
28,85,10
7,24,9
19,58,9
17,53,8
18,53,8
25,78,8
11,36,7
19,61,7
7,26,7
20,62,7
32,96,7
12,37,7
10,33,6
21,64,6
24,77,6
39,117,6
18,55,5
7,22,5
13,44,5
28,80,5
31,94,5
17,54,5
5,18,5
18,56,4
12,36,4
42,132,4
6,19,4
16,50,4
25,71,4
16,49,4
22,72,4
1,4,4
11,35,4
11,34,4
20,61,4
27,82,3
35,104,3
11,38,3
11,33,3
75,227,3
